"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"DRUG METABOLISM REVIEWS","DRUG METAB REV","TAYLOR & FRANCIS LTD","0360-2532","1097-9883","PHARMACOLOGY & PHARMACY","SCIE","3,167","4.7","Q1","0.56","10.94"%,
"INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES","INT J INFECT DIS","ELSEVIER SCI LTD","1201-9712","1878-3511","INFECTIOUS DISEASES","SCIE","18,804","4.6","Q1","1.17","100"%,
"Environmental Toxicology and Pharmacology","ENVIRON TOXICOL PHAR","ELSEVIER","1382-6689","1872-7077","PHARMACOLOGY & PHARMACY","SCIE","11,288","4.6","Q1","1.06","26.95"%,
"Expert Review of Anti-Infective Therapy","EXPERT REV ANTI-INFE","TAYLOR & FRANCIS LTD","1478-7210","1744-8336","INFECTIOUS DISEASES","SCIE","6,560","4.6","Q1","0.7","5.69"%,
"Expert Review of Anti-Infective Therapy","EXPERT REV ANTI-INFE","TAYLOR & FRANCIS LTD","1478-7210","1744-8336","PHARMACOLOGY & PHARMACY","SCIE","6,560","4.6","Q1","0.7","5.69"%,
"ACS Infectious Diseases","ACS INFECT DIS","AMER CHEMICAL SOC","2373-8227","N/A","INFECTIOUS DISEASES","SCIE","8,213","4.5","Q1","1.05","31.41"%,
"Future Journal of Pharmaceutical Sciences","FUTUR J PHARM SCI","SPRINGER","2314-7245","2314-7253","PHARMACOLOGY & PHARMACY","ESCI","3,762","4.5","Q2","0.83","100"%,
"Biomedicines","BIOMEDICINES","MDPI","N/A","2227-9059","PHARMACOLOGY & PHARMACY","SCIE","62,243","4.5","Q2","0.77","99.97"%,
"Pharmacological Reports","PHARMACOL REP","SPRINGER HEIDELBERG","1734-1140","2299-5684","PHARMACOLOGY & PHARMACY","SCIE","6,498","4.5","Q2","0.74","51.14"%,
"CURRENT OPINION IN INFECTIOUS DISEASES","CURR OPIN INFECT DIS","LIPPINCOTT WILLIAMS & WILKINS","0951-7375","1473-6527","INFECTIOUS DISEASES","SCIE","4,307","4.5","Q1","0.56","14.59"%,
"Expert Opinion on Drug Metabolism & Toxicology","EXPERT OPIN DRUG MET","TAYLOR & FRANCIS LTD","1742-5255","1744-7607","PHARMACOLOGY & PHARMACY","SCIE","5,723","4.5","Q2","0.53","4.69"%,
"AIDS PATIENT CARE AND STDS","AIDS PATIENT CARE ST","SAGE PUBLICATIONS INC","1087-2914","1557-7449","INFECTIOUS DISEASES","SCIE","3,337","4.4","Q1","1.12","11.76"%,
"Current HIV/AIDS Reports","CURR HIV-AIDS REP","SPRINGER","1548-3568","1548-3576","INFECTIOUS DISEASES","SCIE","2,911","4.4","Q1","0.95","40.68"%,
"Frontiers in Drug Delivery","FRONT DRUG DELIV","FRONTIERS MEDIA SA","N/A","2674-0850","PHARMACOLOGY & PHARMACY","ESCI","379","4.4","Q2","0.58","100"%,
"INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH","INT J HYG ENVIR HEAL","ELSEVIER GMBH","1438-4639","1618-131X","INFECTIOUS DISEASES","SCIE","8,768","4.3","Q1","1.38","52.61"%,
"REGULATORY TOXICOLOGY AND PHARMACOLOGY","REGUL TOXICOL PHARM","ACADEMIC PRESS INC ELSEVIER SCIENCE","0273-2300","1096-0295","PHARMACOLOGY & PHARMACY","SCIE","10,942","4.3","Q2","1.35","39.05"%,
"ANTIVIRAL RESEARCH","ANTIVIR RES","ELSEVIER","0166-3542","1872-9096","PHARMACOLOGY & PHARMACY","SCIE","11,391","4.3","Q2","1.24","38.98"%,
"JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS","J PHARMACOL EXP THER","ELSEVIER","0022-3565","1521-0103","PHARMACOLOGY & PHARMACY","SCIE","20,272","4.3","Q2","1.09","17.38"%,
"SAUDI PHARMACEUTICAL JOURNAL","SAUDI PHARM J","SPRINGERNATURE","1319-0164","2213-7475","PHARMACOLOGY & PHARMACY","SCIE","7,889","4.3","Q2","1","99.48"%,
