"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;MATHEMATICAL & COMPUTATIONAL BIOLOGY;STATISTICS & PROBABILITY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Austrian Journal of Statistics","AUSTRIAN J STAT","AUSTRIAN STATISTICAL SOC","1026-597X","1026-597X","STATISTICS & PROBABILITY","ESCI","371","0.8","Q3","0.38","87.39"%,
"Journal of the Indian Society for Probability and Statistics","J INDIAN SOC PROB ST","SPRINGERNATURE","N/A","2364-9569","STATISTICS & PROBABILITY","ESCI","151","0.8","Q3","0.38","7.32"%,
"Journal of the Korean Statistical Society","J KOREAN STAT SOC","SPRINGER HEIDELBERG","1226-3192","2005-2863","STATISTICS & PROBABILITY","SCIE","601","0.8","Q3","0.38","10.53"%,
"Stat","STAT-US","WILEY","2049-1573","2049-1573","STATISTICS & PROBABILITY","SCIE","704","0.8","Q3","0.37","32.3"%,
"ELECTRONIC COMMUNICATIONS IN PROBABILITY","ELECTRON COMMUN PROB","INST MATHEMATICAL STATISTICS-IMS","N/A","1083-589X","STATISTICS & PROBABILITY","SCIE","1,061","0.8","Q3","0.35","98.31"%,
"INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS","INFIN DIMENS ANAL QU","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-0257","1793-6306","STATISTICS & PROBABILITY","SCIE","1,189","0.8","Q3","0.34","0"%,
"Journal of Bioinformatics and Computational Biology","J BIOINF COMPUT BIOL","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-7200","1757-6334","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","581","0.8","Q4","0.2","7.45"%,
"Statistical Applications in Genetics and Molecular Biology","STAT APPL GENET MOL","WALTER DE GRUYTER GMBH","2194-6302","1544-6115","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,349","0.8","Q4","0.19","36.36"%,
"Statistical Applications in Genetics and Molecular Biology","STAT APPL GENET MOL","WALTER DE GRUYTER GMBH","2194-6302","1544-6115","STATISTICS & PROBABILITY","SCIE","1,349","0.8","Q3","0.19","36.36"%,
"QUEUEING SYSTEMS","QUEUEING SYST","SPRINGER","0257-0130","1572-9443","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,067","0.8","Q4","0.14","38.2"%,
"STOCHASTIC MODELS","STOCH MODELS","TAYLOR & FRANCIS INC","1532-6349","1532-4214","STATISTICS & PROBABILITY","SCIE","484","0.7","Q4","0.38","14.67"%,
"JOURNAL OF THEORETICAL PROBABILITY","J THEOR PROBAB","SPRINGER/PLENUM PUBLISHERS","0894-9840","1572-9230","STATISTICS & PROBABILITY","SCIE","1,379","0.7","Q4","0.37","28.69"%,
"STATISTICS & PROBABILITY LETTERS","STAT PROBABIL LETT","ELSEVIER","0167-7152","1879-2103","STATISTICS & PROBABILITY","SCIE","5,129","0.7","Q4","0.35","22.88"%,
"INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY","INT J COMPUT APPL T","INDERSCIENCE ENTERPRISES LTD","0952-8091","1741-5047","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","569","0.7","Q4","0.11","0"%,
"Parallel Processing Letters","PARALLEL PROCESS LET","WORLD SCIENTIFIC PUBL CO PTE LTD","0129-6264","1793-642X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","225","0.7","Q4","0.11","5.77"%,
"STOCHASTIC ANALYSIS AND APPLICATIONS","STOCH ANAL APPL","TAYLOR & FRANCIS INC","0736-2994","1532-9356","STATISTICS & PROBABILITY","SCIE","1,195","0.6","Q4","0.39","10"%,
"JOURNAL OF APPLIED PROBABILITY","J APPL PROBAB","CAMBRIDGE UNIV PRESS","0021-9002","1475-6072","STATISTICS & PROBABILITY","SCIE","3,234","0.6","Q4","0.34","23.73"%,
"Stochastics and Dynamics","STOCH DYNAM","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-4937","1793-6799","STATISTICS & PROBABILITY","SCIE","894","0.6","Q4","0.34","1.22"%,
"ECONOMETRIC THEORY","ECONOMET THEOR","CAMBRIDGE UNIV PRESS","0266-4666","1469-4360","STATISTICS & PROBABILITY","SCIE","3,285","0.6","Q4","0.32","45.83"%,
"ALEA-Latin American Journal of Probability and Mathematical Statistics","ALEA-LAT AM J PROBAB","IMPA","1980-0436","N/A","STATISTICS & PROBABILITY","SCIE","475","0.6","Q4","0.3","0.53"%,
"Survey Methodology","SURV METHODOL","STATISTICS CANADA","0714-0045","N/A","STATISTICS & PROBABILITY","SCIE","1,053","0.6","Q4","0.27","0"%,
"Brazilian Journal of Probability and Statistics","BRAZ J PROBAB STAT","BRAZILIAN STATISTICAL ASSOCIATION","0103-0752","0103-0752","STATISTICS & PROBABILITY","SCIE","423","0.6","Q4","0.26","2.33"%,
"Statistical Journal of the IAOS","STAT J IAOS","SAGE PUBLICATIONS INC","1874-7655","1875-9254","STATISTICS & PROBABILITY","ESCI","529","0.6","Q4","0.25","11.67"%,
"Monte Carlo Methods and Applications","MONTE CARLO METHODS","WALTER DE GRUYTER GMBH","1569-3961","0929-9629","STATISTICS & PROBABILITY","ESCI","801","0.6","Q4","0.23","14.47"%,
"INTERNATIONAL JOURNAL OF GAME THEORY","INT J GAME THEORY","SPRINGER HEIDELBERG","0020-7276","1432-1270","STATISTICS & PROBABILITY","SCIE","1,452","0.6","Q4","0.2","43.85"%,
"International Journal of Digital Crime and Forensics","INT J DIGIT CRIME FO","IGI GLOBAL","1941-6210","1941-6229","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","107","0.6","Q4","0.15","95.65"%,
"International Journal of Arts and Technology","INT J ARTS TECHNOL","INDERSCIENCE ENTERPRISES LTD","1754-8853","1754-8861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","130","0.6","Q4","0.12","7.69"%,
"Sankhya-Series A-Mathematical Statistics and Probability","SANKHYA SER A","SPRINGER","0976-836X","0976-8378","STATISTICS & PROBABILITY","ESCI","862","0.5","Q4","0.34","14.05"%,
"AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS","AUST NZ J STAT","WILEY","N/A","1467-842X","STATISTICS & PROBABILITY","SCIE","777","0.5","Q4","0.33","37.18"%,
"Electronic Journal of Applied Statistical Analysis","ELECTRON J APPL STAT","UNIV STUDI SALENTO","2070-5948","2070-5948","STATISTICS & PROBABILITY","ESCI","321","0.5","Q4","0.29","0"%,
"Statistics & Risk Modeling","STATIST RISK MODEL","WALTER DE GRUYTER GMBH","2193-1402","2196-7040","STATISTICS & PROBABILITY","ESCI","168","0.5","Q4","0.28","9.09"%,
"THEORY OF PROBABILITY AND ITS APPLICATIONS","THEOR PROBAB APPL+","SIAM PUBLICATIONS","0040-585X","1095-7219","STATISTICS & PROBABILITY","SCIE","1,868","0.5","Q4","0.27","0"%,
"Random Operators and Stochastic Equations","RANDOM OPERATORS STO","WALTER DE GRUYTER GMBH","0926-6364","1569-397X","STATISTICS & PROBABILITY","ESCI","179","0.5","Q4","0.23","4.55"%,
"Theory of Probability and Mathematical Statistics","THEOR PROBAB MATH ST","TARAS SHEVCHENKO NATL UNIV KYIV, FAC MECH & MATH","0094-9000","1547-7363","STATISTICS & PROBABILITY","ESCI","129","0.5","Q4","0.23","0"%,
"APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING","APPL ALGEBR ENG COMM","SPRINGER","0938-1279","1432-0622","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","613","0.5","Q4","0.17","18.92"%,
"Statistics in Biosciences","STAT BIOSCI","SPRINGER","1867-1764","1867-1772","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","412","0.5","Q4","0.15","23.91"%,
"Statistics and Applications","STAT APPL","SOC STATISTICS COMPUTER & APPLICATIONS","2454-7395","2454-7395","STATISTICS & PROBABILITY","ESCI","203","0.5","Q4","0.12","0"%,
"IADIS-International Journal on Computer Science and Information Systems","IADIS-INT J COMPUT S","IADIS","1646-3692","1646-3692","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","65","0.5","Q4","0.06","0"%,
"Mathematical Methods of Statistics","MATH METHODS STAT","PLEIADES PUBLISHING LTD","1066-5307","1934-8045","STATISTICS & PROBABILITY","ESCI","485","0.4","Q4","0.39","0"%,
"Statistics and Its Interface","STAT INTERFACE","INT PRESS BOSTON, INC","1938-7989","1938-7997","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","749","0.4","Q4","0.18","0"%,
"Statistics in Transition","STAT TRANSIT","Polish Statistical Assoc","1234-7655","2450-0291","STATISTICS & PROBABILITY","ESCI","307","0.4","Q4","0.17","99.36"%,
"SOUTH AFRICAN STATISTICAL JOURNAL","S AFR STAT J","SOUTH AFRICAN STATISTICAL ASSOC","0038-271X","1996-8450","STATISTICS & PROBABILITY","ESCI","81","0.4","Q4","0.15","70.59"%,
"PATTERN RECOGNITION AND IMAGE ANALYSIS","PATTERN RECOGN IMAGE","SPRINGERNATURE","1054-6618","1555-6212","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","550","0.4","Q4","0.1","0.89"%,
"Romanian Journal of Information Technology and Automatic Control-Revista Romana de Informatica si Automatica","ROM J INF TECH AUT C","INST NATL CERCETARE-DEZVOLTARE INFORMATICA-ICI","1220-1758","1841-4303","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","94","0.4","Q4","0.1","100"%,
"Advances and Applications in Statistics","ADV APPL STAT","PUSHPA PUBLISHING HOUSE","0972-3617","0972-3617","STATISTICS & PROBABILITY","ESCI","165","0.3","Q4","0.15","94.81"%,
"Korean Journal of Applied Statistics","KOREAN J APPL STAT","KOREAN STATISTICAL SOC","1225-066X","2383-5818","STATISTICS & PROBABILITY","ESCI","110","0.3","Q4","0.13","0.7"%,
"Markov Processes and Related Fields","MARKOV PROCESS RELAT","POLYMAT","1024-2953","1024-2953","STATISTICS & PROBABILITY","SCIE","267","0.3","Q4","0.12","0"%,
"Qwerty","QWERTY","PROGEDIT","1828-7344","2240-2950","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","67","0.3","Q4","0.09","97.22"%,
"COMPUTER MUSIC JOURNAL","COMPUT MUSIC J","MIT PRESS","0148-9267","1531-5169","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","404","0.2","Q4","0.29","8.82"%,
"JP Journal of Biostatistics","JP J BIOSTAT","PUSHPA PUBLISHING HOUSE","0973-5143","0973-5143","STATISTICS & PROBABILITY","ESCI","29","0.2","Q4","0.11","100"%,
"Wiadomosci Statystyczne. The Polish Statistician","WIAD STAT-POL STAT","Glowny Urzad Statystyczny - Central Statistical Office","0043-518X","2543-8476","STATISTICS & PROBABILITY","ESCI","104","0.2","Q4","0.07","98.4"%,
"Ekoist-Journal of Econometrics and Statistics","EKOIST-J ECONOM STAT","ISTANBUL UNIV","2651-396X","2651-396X","STATISTICS & PROBABILITY","ESCI","33","0.2","Q4","0.05","98.89"%,
"ERCIM News","ERCIM NEWS","EUROPEAN RESEARCH CONSORTIUM INFORMATICS & MATHEMATICS","0926-4981","1564-0094","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","91","0.2","Q4","0.02","0"%,
"Revista Brasileira de Computacao Aplicada","REV BRAS COMPUT APL","UNIV PASSO FUNDO","2176-6649","2176-6649","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","50","0.2","Q4","0.02","97.3"%,
"Probability and Mathematical Statistics-Poland","PROBAB MATH STAT-POL","WYDAWNICTWO UNIWERSYTETU WROCLAWSKIEGO","0208-4147","N/A","STATISTICS & PROBABILITY","SCIE","253","0.1","Q4","0.11","97.5"%,
"JIRSS-Journal of the Iranian Statistical Society","JIRSS-J IRAN STAT SO","IRANIAN STATISTICAL SOC","1726-4057","2538-189X","STATISTICS & PROBABILITY","ESCI","111","0.1","Q4","0.05","0"%,
"IEEE Transactions on Computational Biology and Bioinformatics","IEEE T COMPUT BIOL B","IEEE COMPUTER SOC","N/A","2998-4165","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","146","N/A","N/A","N/A","6.11"%,
"IEEE Transactions on Computational Biology and Bioinformatics","IEEE T COMPUT BIOL B","IEEE COMPUTER SOC","N/A","2998-4165","STATISTICS & PROBABILITY","SCIE","146","N/A","N/A","N/A","6.11"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
